class_name,evidence_kind,symbol_name,mangled_name,module,target_address,segment,segment_offset,provenance
std::__rw_messages_base,TYPEINFO,typeinfo for std::__rw_messages_base,_ZTISt18__rw_messages_base,|static|,0x005F9C24,.rodata,0x00063C24,RETAIL_ORIGINAL_SYMBOL
std::__rw_messages_base,TYPEINFO,typeinfo name for std::__rw_messages_base,_ZTSSt18__rw_messages_base,|static|,0x0060EBB6,.rodata,0x00078BB6,RETAIL_ORIGINAL_SYMBOL
"std::codecvt<wchar_t, char, std::__mbstate_t>",TYPEINFO,"typeinfo for std::codecvt<wchar_t, char, std::__mbstate_t>",_ZTISt7codecvtIwcSt11__mbstate_tE,|static|,0x005F9C88,.rodata,0x00063C88,RETAIL_ORIGINAL_SYMBOL
"std::codecvt<wchar_t, char, std::__mbstate_t>",TYPEINFO,"typeinfo name for std::codecvt<wchar_t, char, std::__mbstate_t>",_ZTSSt7codecvtIwcSt11__mbstate_tE,|static|,0x0060EC46,.rodata,0x00078C46,RETAIL_ORIGINAL_SYMBOL
std::codecvt_base,TYPEINFO,typeinfo for std::codecvt_base,_ZTISt12codecvt_base,|static|,0x005F9BE4,.rodata,0x00063BE4,RETAIL_ORIGINAL_SYMBOL
std::codecvt_base,TYPEINFO,typeinfo name for std::codecvt_base,_ZTSSt12codecvt_base,|static|,0x0060EB30,.rodata,0x00078B30,RETAIL_ORIGINAL_SYMBOL
"std::codecvt_byname<wchar_t, char, std::__mbstate_t>",TYPEINFO,"typeinfo for std::codecvt_byname<wchar_t, char, std::__mbstate_t>",_ZTISt14codecvt_bynameIwcSt11__mbstate_tE,|static|,0x005F9C0C,.rodata,0x00063C0C,RETAIL_ORIGINAL_SYMBOL
"std::codecvt_byname<wchar_t, char, std::__mbstate_t>",TYPEINFO,"typeinfo name for std::codecvt_byname<wchar_t, char, std::__mbstate_t>",_ZTSSt14codecvt_bynameIwcSt11__mbstate_tE,|static|,0x0060EB7A,.rodata,0x00078B7A,RETAIL_ORIGINAL_SYMBOL
"std::codecvt_byname<wchar_t, char, std::__mbstate_t>",VTABLE,"vtable for std::codecvt_byname<wchar_t, char, std::__mbstate_t>",_ZTVSt14codecvt_bynameIwcSt11__mbstate_tE,|static|,0x0061F670,.rodata,0x00089670,RETAIL_ORIGINAL_SYMBOL
std::collate<char>,TYPEINFO,typeinfo for std::collate<char>,_ZTISt7collateIcE,|static|,0x005F9CA8,.rodata,0x00063CA8,RETAIL_ORIGINAL_SYMBOL
std::collate<char>,TYPEINFO,typeinfo name for std::collate<char>,_ZTSSt7collateIcE,|static|,0x0060EC64,.rodata,0x00078C64,RETAIL_ORIGINAL_SYMBOL
std::collate<char>,VTABLE,vtable for std::collate<char>,_ZTVSt7collateIcE,|static|,0x0061F6F4,.rodata,0x000896F4,RETAIL_ORIGINAL_SYMBOL
std::collate_byname<char>,TYPEINFO,typeinfo for std::collate_byname<char>,_ZTISt14collate_bynameIcE,|static|,0x005F9C18,.rodata,0x00063C18,RETAIL_ORIGINAL_SYMBOL
std::collate_byname<char>,TYPEINFO,typeinfo name for std::collate_byname<char>,_ZTSSt14collate_bynameIcE,|static|,0x0060EBA0,.rodata,0x00078BA0,RETAIL_ORIGINAL_SYMBOL
std::collate_byname<char>,VTABLE,vtable for std::collate_byname<char>,_ZTVSt14collate_bynameIcE,|static|,0x0061F6A0,.rodata,0x000896A0,RETAIL_ORIGINAL_SYMBOL
std::ctype<char>,TYPEINFO,typeinfo for std::ctype<char>,_ZTISt5ctypeIcE,|static|,0x005F9C60,.rodata,0x00063C60,RETAIL_ORIGINAL_SYMBOL
std::ctype<char>,TYPEINFO,typeinfo name for std::ctype<char>,_ZTSSt5ctypeIcE,|static|,0x0060EC3A,.rodata,0x00078C3A,RETAIL_ORIGINAL_SYMBOL
std::ctype<char>,VTABLE,vtable for std::ctype<char>,_ZTVSt5ctypeIcE,|static|,0x0061F6C0,.rodata,0x000896C0,RETAIL_ORIGINAL_SYMBOL
std::ctype_base,TYPEINFO,typeinfo for std::ctype_base,_ZTISt10ctype_base,|static|,0x005F9BDC,.rodata,0x00063BDC,RETAIL_ORIGINAL_SYMBOL
std::ctype_base,TYPEINFO,typeinfo name for std::ctype_base,_ZTSSt10ctype_base,|static|,0x0060EB21,.rodata,0x00078B21,RETAIL_ORIGINAL_SYMBOL
std::ctype_byname<char>,TYPEINFO,typeinfo for std::ctype_byname<char>,_ZTISt12ctype_bynameIcE,|static|,0x005F9BEC,.rodata,0x00063BEC,RETAIL_ORIGINAL_SYMBOL
std::ctype_byname<char>,TYPEINFO,typeinfo name for std::ctype_byname<char>,_ZTSSt12ctype_bynameIcE,|static|,0x0060EB41,.rodata,0x00078B41,RETAIL_ORIGINAL_SYMBOL
std::ctype_byname<char>,VTABLE,vtable for std::ctype_byname<char>,_ZTVSt12ctype_bynameIcE,|static|,0x0061F628,.rodata,0x00089628,RETAIL_ORIGINAL_SYMBOL
std::exception,TYPEINFO,typeinfo for std::exception,_ZTISt9exception,|static|,0x005F9D08,.rodata,0x00063D08,RETAIL_ORIGINAL_SYMBOL
std::exception,TYPEINFO,typeinfo name for std::exception,_ZTSSt9exception,|static|,0x0060EC90,.rodata,0x00078C90,RETAIL_ORIGINAL_SYMBOL
std::exception,VTABLE,vtable for std::exception,_ZTVSt9exception,|static|,0x0061F75C,.rodata,0x0008975C,RETAIL_ORIGINAL_SYMBOL
std::locale::facet,TYPEINFO,typeinfo for std::locale::facet,_ZTINSt6locale5facetE,|static|,0x005F9BD0,.rodata,0x00063BD0,RETAIL_ORIGINAL_SYMBOL
std::locale::facet,TYPEINFO,typeinfo name for std::locale::facet,_ZTSNSt6locale5facetE,|static|,0x0060EB0F,.rodata,0x00078B0F,RETAIL_ORIGINAL_SYMBOL
std::locale::facet,VTABLE,vtable for std::locale::facet,_ZTVNSt6locale5facetE,|static|,0x0061F614,.rodata,0x00089614,RETAIL_ORIGINAL_SYMBOL
std::messages<char>,TYPEINFO,typeinfo for std::messages<char>,_ZTISt8messagesIcE,|static|,0x005F9CC8,.rodata,0x00063CC8,RETAIL_ORIGINAL_SYMBOL
std::messages<char>,TYPEINFO,typeinfo name for std::messages<char>,_ZTSSt8messagesIcE,|static|,0x0060EC72,.rodata,0x00078C72,RETAIL_ORIGINAL_SYMBOL
std::messages<char>,VTABLE,vtable for std::messages<char>,_ZTVSt8messagesIcE,|static|,0x0061F714,.rodata,0x00089714,RETAIL_ORIGINAL_SYMBOL
std::messages_base,TYPEINFO,typeinfo for std::messages_base,_ZTISt13messages_base,|static|,0x005F9BF8,.rodata,0x00063BF8,RETAIL_ORIGINAL_SYMBOL
std::messages_base,TYPEINFO,typeinfo name for std::messages_base,_ZTSSt13messages_base,|static|,0x0060EB55,.rodata,0x00078B55,RETAIL_ORIGINAL_SYMBOL
std::numpunct<char>,TYPEINFO,typeinfo for std::numpunct<char>,_ZTISt8numpunctIcE,|static|,0x005F9CE8,.rodata,0x00063CE8,RETAIL_ORIGINAL_SYMBOL
std::numpunct<char>,TYPEINFO,typeinfo name for std::numpunct<char>,_ZTSSt8numpunctIcE,|static|,0x0060EC81,.rodata,0x00078C81,RETAIL_ORIGINAL_SYMBOL
std::numpunct<char>,VTABLE,vtable for std::numpunct<char>,_ZTVSt8numpunctIcE,|static|,0x0061F734,.rodata,0x00089734,RETAIL_ORIGINAL_SYMBOL
std::type_info,TYPEINFO,typeinfo for std::type_info,_ZTISt9type_info,|static|,0x005F9D10,.rodata,0x00063D10,RETAIL_ORIGINAL_SYMBOL
std::type_info,TYPEINFO,typeinfo name for std::type_info,_ZTSSt9type_info,|static|,0x0060EC9D,.rodata,0x00078C9D,RETAIL_ORIGINAL_SYMBOL
