entry,end,size,name,qualified_name,namespace,symbol_source,signature_source,signature,is_thunk,thunk_target,body_sha256,mnemonic_sha256,instruction_count,memory_block
00100e1e,00100e9b,126,"FUN_00100e1e","FUN_00100e1e","Global",DEFAULT,ANALYSIS,"short * __stdcall FUN_00100e1e(short * param_1, int param_2, undefined4 * param_3)",false,"",0198647ff31dbd726b8f85a82b14918e23070ec68b129660263cd607357902f9,5cc18ef1b85e0a3a82af0ffae6634c15ec196932cc25f8fec2d92f51a73526c1,63,".text"
00100e9c,00100ea3,8,"thunk_FUN_00100ea4","thunk_FUN_00100ea4","Global",DEFAULT,ANALYSIS,"int __stdcall thunk_FUN_00100ea4(short * param_1)",true,"00100ea4",68f73b58dbc3836dedbbf8b786ecbfe271f691d62b4015ac06f48b31f65d097c,71d318a7e87c506e25ce254945de28646b747ed384e2cccf0629c118e67e73f9,2,".text"
00100ea4,00100eb5,18,"FUN_00100ea4","FUN_00100ea4","Global",DEFAULT,ANALYSIS,"int __stdcall FUN_00100ea4(short * param_1)",false,"",7585fc7596f325979240e3b90265a21a6994e63b9da9b8112831ee1992c99c70,01978f14b764c80b2aad3f3d171a6a71a570542a0d2002d880db6024eb0cea25,9,".text"
00100eb6,00100ecd,24,"FUN_00100eb6","FUN_00100eb6","Global",DEFAULT,ANALYSIS,"char * __stdcall FUN_00100eb6(char * param_1, char param_2, int param_3)",false,"",9948df38b49edaf736ca1d71747b731014d6abecacdd3a752e3e26225f91bdc6,c381f28d7793f0920942ffe26db15c54cf9021a3a2ef4fb55a3a989d316d0926,12,".text"
00100ed8,00100eef,24,"FUN_00100ed8","FUN_00100ed8","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_00100ed8(int param_1, char * param_2)",false,"",04dcd2dc1a00e89af91fe54ba64e4e35c8800fa141ec1fba2c07e3ebed9d2f49,1d336729e04d235b0b92fed0e73769750c9885a986a8a0092052d9f34b43c2f9,12,".text"
00100ef0,00100f09,26,"FUN_00100ef0","FUN_00100ef0","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_00100ef0(void)",false,"",13938feb3d18222e8a64dde67638f060becb32ed96e8afced7a95e65ea31aac3,49ad52694033438b198db0ff42ec4a5c2bbcded7f956ddbc9d220110408a7485,13,".text"
00100f1c,00100f3d,34,"__aeabi_vec_dtor","__aeabi_vec_dtor","Global",ANALYSIS,ANALYSIS,"int __stdcall __aeabi_vec_dtor(int param_1, undefined * param_2, int param_3, int param_4)",false,"",976a3ed1af5433dbaff4ab09da370a180f89a93945221db744b19188cef1a6df,8d97b17e4a6d6a632cda724c9517bbe5accc299a8dfa080544e17ac2e7195628,17,".text"
00100f40,00100f47,8,"thunk_FUN_00100f52","thunk_FUN_00100f52","Global",DEFAULT,ANALYSIS,"undefined __stdcall thunk_FUN_00100f52(undefined4 param_1)",true,"00100f52",81f1d92689885618a44816714f0d875ca1e545ceb269cb3b3fbdaef8a8bd316e,71d318a7e87c506e25ce254945de28646b747ed384e2cccf0629c118e67e73f9,2,".text"
00100f48,00100f51,10,"FUN_00100f48","FUN_00100f48","Global",DEFAULT,ANALYSIS,"undefined4 __stdcall FUN_00100f48(void)",false,"",5241ce7eb26496342d7defe04abf35983f31fd8ad7191a7881e68e9f157c8a91,53963231bcf1364e71f8d1c54b47338bed3369a79fd7e1cc970788854e656ae6,4,".text"
00100f52,00100f5d,12,"FUN_00100f52","FUN_00100f52","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_00100f52(undefined4 param_1)",false,"",a4462bbee62c7df2dd7411d7a40f88df16f100a6abd1338aae3f40d89a54ce4d,f56c607a0331f4db72d84c3c03b8858155320bcf5db77963c652d6aefcb58bed,5,".text"
00100f5e,00100f69,12,"FUN_00100f5e","FUN_00100f5e","Global",DEFAULT,ANALYSIS,"uint __stdcall FUN_00100f5e(uint param_1)",false,"",7d9b44e37b1641212a7f187329dadb85c0e7f11db38227d039d61e87c3a775fd,09364f097ac07e7a5a216591620cb028cb248beadcd32dbbf5f56a46fdaa4167,5,".text"
00100f6c,00100f9d,50,"FUN_00100f6c","FUN_00100f6c","Global",DEFAULT,ANALYSIS,"undefined4 __stdcall FUN_00100f6c(int param_1, int param_2, undefined4 param_3, uint * param_4)",false,"",5e225588f52c22283ddd89e2739808bdfa57001024a9c4789e6a3878db752344,807cb3682843422a47914de96dd44ad4af543b91c2447848b6da8693aad087d7,23,".text"
0010129c,001012b1,22,"FUN_0010129c","FUN_0010129c","Global",DEFAULT,ANALYSIS,"undefined4 __stdcall FUN_0010129c(uint * param_1, undefined1 * param_2, uint param_3)",false,"",a995713160972f8471955316d61995f6b99fd61b3cdcc796a58e520ffda019fb,83554c4580ea1be78b80ccf1597d74abe1b1b30f37cc02cc6251032b577f038d,9,".text"
001012cc,00101381,182,"FUN_001012cc","FUN_001012cc","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_001012cc(uint * param_1, int param_2, int param_3)",false,"",7b7894a00fecec716efb190e82786a602c5595aaf7f1e793c9ab5a44ddeecf00,eab9c10a476d1729d6e23fd05f296004da765c12e7a2fe55491083bb23f3a38c,87,".text"
00101390,001013a5,22,"FUN_00101390","FUN_00101390","Global",DEFAULT,ANALYSIS,"undefined4 __stdcall FUN_00101390(uint * param_1, undefined2 * param_2, uint param_3)",false,"",6135fdab218efca2f188d2c4d0bea04f01e72225786302321e959e24795244b7,83554c4580ea1be78b80ccf1597d74abe1b1b30f37cc02cc6251032b577f038d,9,".text"
001013c0,001013f5,54,"FUN_001013c0","FUN_001013c0","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_001013c0(undefined4 param_1, int param_2, undefined4 param_3, undefined4 param_4)",false,"",970a5279e2600590f92f65c205fa8187c3eb3750c5f4306c85145280c0af00e0,fe3e1ffb97926373dbb942292d67448617865f97014052515ea71e6e5f0f9052,26,".text"
00101400,001015fd,510,"FUN_00101400","FUN_00101400","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_00101400(int * param_1, byte * param_2, byte * param_3, int param_4)",false,"",194dfa1cf85cd3cd65cb3f32dc0e5b88de4b7a021a09eccc6cf036389a728932,274349ae298ce8b493fa89c383d3c0285d9361764456d922f00251719d3c29f0,248,".text"
001015fe,001018ab,686,"FUN_001015fe","FUN_001015fe","Global",DEFAULT,ANALYSIS,"byte * __stdcall FUN_001015fe(undefined4 param_1, undefined4 param_2, int * param_3, int * param_4)",false,"",8f0d7b9fa2e500df6b2adc77b4058494bb0ef47626d3fa48e5a317cac27448d4,ae442dab3c8cfe363ccb2a8641d7bd6b85fe50ed85463f5a6fd19873e0f7a163,336,".text"
0010190c,00101977,108,"FUN_0010190c","FUN_0010190c","Global",DEFAULT,ANALYSIS,"undefined8 __stdcall FUN_0010190c(byte * param_1, int * param_2, uint param_3)",false,"",d920d492a6e5169d7cc9bfc6d8ca0e84cabfce608829ce243fb1c26eadab9db8,c76a01b39df95e3f343bd987e90dfcb82dffba6521a450fe51ba98ce2afd0445,50,".text"
0010197c,001019f7,124,"FUN_0010197c","FUN_0010197c","Global",DEFAULT,ANALYSIS,"undefined8 __stdcall FUN_0010197c(byte * param_1, int * param_2, uint param_3)",false,"",27439e6e347ccaac2742c133f41c27ccf90e55a33aa582ee6bac89ac438bc04e,5f06a16ce409b1c9878508d3c526b51703a79509ba7b003df31ab2e60d789bfe,59,".text"
001019f8,00101a9f,168,"FUN_001019f8","FUN_001019f8","Global",DEFAULT,ANALYSIS,"uint __stdcall FUN_001019f8(ushort * param_1, undefined4 * param_2, uint param_3)",false,"",0e55ef450e1d86034547adf5a6d9f9e3e81763388ed4d587ae5ebe5af2c576e7,f22fb33bd8681d76c84255f721802662a8f5d74b37c91991eb33aa122fa58cd8,82,".text"
